job_id,arrival_time,runtime,cpu_demand,mem_demand,priority,deadline_time,scenario_id
77,1596900.0,77700.0,0.23369300568240398,0.5,0,1775610.0,azure_vm_real_slice
78,682500.0,1800.0,0.05,0.5,0,686640.0,azure_vm_real_slice
79,947700.0,600.0,0.052049313721326124,0.125,0,949080.0,azure_vm_real_slice
80,660300.0,3600.0,0.6347754985487285,0.05,1,667680.0,azure_vm_real_slice
81,1615500.0,300.0,0.05,0.0625,0,1616190.0,azure_vm_real_slice
82,879300.0,600.0,0.05304848939820492,0.125,0,880680.0,azure_vm_real_slice
83,1530600.0,1500.0,0.4929732293426008,0.0625,1,1533675.0,azure_vm_real_slice
84,474000.0,123000.0,0.05,0.125,0,756900.0,azure_vm_real_slice
85,1777800.0,300.0,0.15657639360034,0.0625,0,1778490.0,azure_vm_real_slice
86,0.0,4500.0,0.30079327553142293,0.125,0,10350.0,azure_vm_real_slice
87,1261200.0,47400.0,0.10542283230092883,0.05,0,1370220.0,azure_vm_real_slice
88,1120200.0,1800.0,0.14711296591950998,0.125,0,1124340.0,azure_vm_real_slice
89,914700.0,600.0,0.05,0.5,0,916080.0,azure_vm_real_slice
90,0.0,2700.0,0.05,0.5,0,6209.999999999999,azure_vm_real_slice
91,2004900.0,600.0,0.21235371846918563,0.05,0,2006280.0,azure_vm_real_slice
92,538500.0,1494600.0,0.05,0.5,2,3228779.9999999995,azure_vm_real_slice
93,0.0,300.0,0.05,0.125,0,690.0,azure_vm_real_slice
94,444600.0,2400.0,0.05,0.5,0,450120.0,azure_vm_real_slice
95,724200.0,300.0,0.05,0.125,0,724890.0,azure_vm_real_slice
96,1854000.0,2400.0,0.24312954080402174,0.5,0,1859520.0,azure_vm_real_slice
97,1365600.0,1500.0,0.20218368103143608,0.5,2,1368300.0,azure_vm_real_slice
98,0.0,40200.0,0.05,1.0,2,72360.0,azure_vm_real_slice
99,123900.0,258000.0,0.054592863765766955,0.125,0,717300.0,azure_vm_real_slice
100,285000.0,1200.0,0.30379702658051666,0.0625,0,287760.0,azure_vm_real_slice
101,43800.0,7800.0,0.6252921484398983,0.125,1,59790.0,azure_vm_real_slice
102,1111800.0,251400.0,0.28777288617038294,0.125,0,1690020.0,azure_vm_real_slice
103,1949100.0,2700.0,0.2576617075912834,0.5,0,1955310.0,azure_vm_real_slice
104,0.0,1200.0,0.05,0.5,0,2760.0,azure_vm_real_slice
105,414600.0,900.0,0.08132982527680933,0.125,0,416670.0,azure_vm_real_slice
106,130200.0,215400.0,0.05,0.0625,0,625620.0,azure_vm_real_slice
107,0.0,397500.0,0.05,0.0625,0,914249.9999999999,azure_vm_real_slice
108,1103400.0,1800.0,0.11205548788004341,0.125,0,1107540.0,azure_vm_real_slice
109,1720200.0,300.0,0.05,0.5,0,1720890.0,azure_vm_real_slice
110,1938000.0,9900.0,0.07386718458443713,0.5,2,1955820.0,azure_vm_real_slice
111,0.0,38400.0,0.05416318866571296,0.125,0,88320.0,azure_vm_real_slice
112,481200.0,3600.0,0.05,0.5,2,487680.0,azure_vm_real_slice
113,1249200.0,300.0,0.05,0.5,0,1249890.0,azure_vm_real_slice
114,1581000.0,265800.0,0.10786330948238454,0.125,0,2192340.0,azure_vm_real_slice
115,939000.0,196800.0,0.05,0.5,2,1293240.0,azure_vm_real_slice
116,954300.0,3900.0,0.3645599910726983,0.05,1,962295.0,azure_vm_real_slice
117,0.0,300.0,0.09504049165950806,0.125,0,690.0,azure_vm_real_slice
118,748800.0,6000.0,0.05,0.5,0,762600.0,azure_vm_real_slice
119,457200.0,1800.0,0.05,0.0625,0,461340.0,azure_vm_real_slice
120,637800.0,14100.0,0.05,0.125,0,670230.0,azure_vm_real_slice
121,566400.0,600.0,0.05,0.0625,0,567780.0,azure_vm_real_slice
122,1184100.0,13200.0,0.7110461874610565,0.125,1,1211160.0,azure_vm_real_slice
123,0.0,406200.0,0.05,1.0,2,731159.9999999999,azure_vm_real_slice
124,1734300.0,2100.0,0.05,0.5,0,1739130.0,azure_vm_real_slice
125,41700.0,14100.0,0.4287214578278247,0.125,1,70605.0,azure_vm_real_slice
126,0.0,300.0,0.07640182500457836,0.125,0,690.0,azure_vm_real_slice
127,1369200.0,300.0,0.05,0.5,0,1369890.0,azure_vm_real_slice
128,0.0,8400.0,0.15258131234180167,0.05,0,19320.0,azure_vm_real_slice
129,0.0,2100.0,0.18249319746411227,0.0625,0,4830.0,azure_vm_real_slice
130,435600.0,300.0,0.44176314458787375,0.5,2,436140.0,azure_vm_real_slice
131,324600.0,1200.0,0.063215758131014,0.125,0,327360.0,azure_vm_real_slice
132,0.0,300.0,0.08069083014710636,0.125,0,690.0,azure_vm_real_slice
133,297600.0,300.0,0.05,0.0625,0,298290.0,azure_vm_real_slice
